symbol,mode,n_signals,n_B,n_S,skill6,skill12,skill24
000559.SZ,resonance,991,647,344,-0.0054,0.0322,0.0683
000560.SZ,strict,428,248,180,0.0179,0.0039,-0.0319
000560.SZ,floor,510,263,247,0.039,0.0213,-0.053
000560.SZ,resonance,650,453,197,0.0501,0.0334,-0.0035
000561.SZ,strict,687,402,285,-0.0161,0.0018,-0.0661
000561.SZ,floor,771,405,366,-0.0186,0.0019,-0.0399
000561.SZ,resonance,937,603,334,-0.0036,-0.0006,-0.0517
000563.SZ,strict,365,189,176,0.0357,0.0173,-0.007
000563.SZ,floor,376,191,185,0.0464,0.0258,-0.0034
000563.SZ,resonance,544,379,165,0.0773,0.0667,0.0417
000564.SZ,strict,312,191,121,0.1143,0.0949,0.1072
000564.SZ,floor,367,199,168,0.1533,0.1188,0.1079
000564.SZ,resonance,472,355,117,0.1297,0.1383,0.1328
000566.SZ,strict,540,334,206,-0.0147,0.0143,-0.0272
000566.SZ,floor,624,346,278,-0.05,-0.0249,-0.0178
000566.SZ,resonance,829,579,250,0.0134,0.001,-0.021
000567.SZ,strict,570,336,234,0.0001,-0.0001,-0.0332
000567.SZ,floor,649,349,300,0.0133,0.0291,0.0006
000567.SZ,resonance,838,566,272,0.0327,0.0198,-0.0069
000571.SZ,strict,642,396,246,0.0532,0.0503,-0.0261
000571.SZ,floor,808,435,373,0.0476,0.0313,-0.0326
000571.SZ,resonance,953,644,309,0.0598,0.0318,-0.0298
000572.SZ,strict,557,340,217,-0.0594,-0.1067,-0.0673
000572.SZ,floor,657,375,282,-0.0403,-0.0845,-0.0712
000572.SZ,resonance,844,596,248,-0.0158,-0.0391,-0.0266
000573.SZ,strict,552,321,231,-0.0058,-0.0171,0.0207
000573.SZ,floor,632,335,297,0.0035,-0.013,0.0097
000573.SZ,resonance,829,558,271,0.0207,0.0156,0.026
000576.SZ,strict,108,62,46,-0.0912,-0.0839,-0.1885
000576.SZ,floor,121,63,58,-0.09,-0.0914,-0.2013
000576.SZ,resonance,137,89,48,-0.0546,-0.0494,-0.1446
000581.SZ,strict,795,465,330,0.0031,0.0027,0.0005
000581.SZ,floor,828,480,348,0.0066,0.0056,-0.0038
000581.SZ,resonance,1084,697,387,0.0038,-0.0033,0.0051
000582.SZ,strict,677,401,276,0.005,-0.0048,-0.0316
000582.SZ,floor,772,415,357,0.024,0.0081,-0.0215
000582.SZ,resonance,950,614,336,0.0238,0.0169,0.0099
000590.SZ,strict,716,459,257,-0.0025,-0.0191,-0.0155
000590.SZ,floor,766,461,305,-0.0035,-0.0228,-0.015
000590.SZ,resonance,1060,741,319,0.0193,0.0039,0.0017
000591.SZ,strict,502,287,215,0.0428,0.0562,0.0728
000591.SZ,floor,597,313,284,0.0576,0.0835,0.088
000591.SZ,resonance,753,509,244,0.0441,0.0626,0.0897
000592.SZ,strict,669,413,256,-0.0016,0.0128,0.0135
000592.SZ,floor,893,448,445,-0.0291,-0.0005,-0.0028
000592.SZ,resonance,926,613,313,0.0135,0.0392,0.0124
000593.SZ,strict,536,316,220,-0.0181,-0.0385,0.0411
000593.SZ,floor,698,344,354,-0.0014,0.0146,0.0769
000593.SZ,resonance,632,382,250,-0.0255,-0.0044,0.0188
000595.SZ,strict,512,272,240,-0.0386,0.0177,0.0522
000595.SZ,floor,603,286,317,-0.0179,0.034,0.0916
000595.SZ,resonance,820,526,294,0.0056,0.0364,0.0485
000597.SZ,strict,489,272,217,0.0093,0.0191,0.003
000597.SZ,floor,527,272,255,0.0073,0.0164,-0.0063
000597.SZ,resonance,727,468,259,0.0331,0.0333,0.007
000598.SZ,strict,523,279,244,-0.0008,-0.0136,0.0014
000598.SZ,floor,530,280,250,0.0006,-0.0111,0.0055
000598.SZ,resonance,746,476,270,0.0214,0.0024,-0.0021
000600.SZ,strict,595,344,251,0.0224,0.0624,0.0588
000600.SZ,floor,705,355,350,0.0143,0.0454,0.0474
000600.SZ,resonance,809,510,299,0.0154,0.0389,0.0069
000603.SZ,strict,1128,638,490,0.0016,0.0121,-0.002
000603.SZ,floor,1349,702,647,0.0017,0.017,-0.0013
000603.SZ,resonance,1225,732,493,-0.0309,-0.0231,-0.0142
000607.SZ,strict,550,324,226,-0.0828,-0.09,-0.1171
000607.SZ,floor,631,337,294,-0.0363,-0.0338,-0.0404
000607.SZ,resonance,773,527,246,-0.0231,-0.0409,-0.0655
000608.SZ,strict,546,300,246,0.0091,0.0123,0.0676
000608.SZ,floor,743,327,416,0.0242,0.0344,0.07
000608.SZ,resonance,781,485,296,0.0594,0.0482,0.1249
000609.SZ,strict,544,305,239,-0.0437,-0.0331,-0.0024
000609.SZ,floor,739,354,385,-0.0312,-0.0019,0.049
000609.SZ,resonance,782,480,302,-0.0204,-0.0113,0.0297
000610.SZ,strict,628,361,267,-0.0576,-0.0717,-0.0736
000610.SZ,floor,717,368,349,-0.0273,-0.0322,-0.0202
000610.SZ,resonance,883,564,319,-0.035,-0.0609,-0.0871
000612.SZ,strict,826,462,364,-0.0011,0.0264,0.0558
000612.SZ,floor,968,481,487,-0.0046,0.0222,0.0551
000612.SZ,resonance,1091,679,412,0.0128,-0.0031,0.0326
000615.SZ,strict,123,72,51,0.0929,0.0878,0.1293
000615.SZ,floor,149,75,74,0.1126,0.1217,0.1148
000615.SZ,resonance,191,128,63,0.1076,0.0835,0.1156
000617.SZ,strict,543,330,213,0.0077,0.0181,-0.0419
000617.SZ,floor,618,339,279,0.0171,0.06,0.0202
000617.SZ,resonance,836,573,263,-0.0,0.0292,0.0301
000620.SZ,strict,426,262,164,-0.0321,0.056,-0.0096
000620.SZ,floor,557,298,259,0.0164,0.1099,0.0465
000620.SZ,resonance,677,488,189,0.0131,0.0902,0.0207
000623.SZ,strict,784,425,359,-0.0182,-0.0395,-0.0261
000623.SZ,floor,808,430,378,-0.0198,-0.0359,-0.0262
000623.SZ,resonance,1061,670,391,-0.0109,-0.0256,-0.035
000626.SZ,strict,649,409,240,-0.056,-0.036,-0.0882
000626.SZ,floor,731,437,294,-0.0361,-0.0153,-0.0763
000626.SZ,resonance,922,643,279,-0.024,0.0053,-0.0261
000628.SZ,strict,953,615,338,0.0166,-0.0049,0.0272
000628.SZ,floor,1082,635,447,0.009,-0.0001,0.0207
000628.SZ,resonance,1159,792,367,0.0065,-0.0045,-0.0081
000629.SZ,strict,426,241,185,-0.0386,-0.0609,-0.0599
000629.SZ,floor,514,257,257,-0.0171,-0.0109,0.0028
000629.SZ,resonance,632,429,203,0.0138,-0.0034,-0.0209
000630.SZ,strict,618,323,295,-0.0559,-0.0421,-0.0489
000630.SZ,floor,805,363,442,-0.0325,-0.0484,-0.0569
000630.SZ,resonance,883,546,337,-0.0252,-0.0436,-0.0611
000631.SZ,strict,451,266,185,0.0145,-0.005,-0.0206
000631.SZ,floor,526,277,249,0.0319,0.0201,-0.0089
000631.SZ,resonance,704,489,215,0.0775,0.0466,0.0356
000632.SZ,strict,523,296,227,0.0275,0.0283,0.0419
000632.SZ,floor,662,320,342,0.0367,0.0343,0.0155
000632.SZ,resonance,762,512,250,0.0369,0.0312,0.0125
000633.SZ,strict,680,388,292,-0.0058,0.0078,-0.0271
000633.SZ,floor,767,405,362,-0.0011,0.0214,-0.0111
000633.SZ,resonance,944,606,338,0.0137,0.0139,-0.0112
000635.SZ,strict,312,199,113,-0.0237,0.0159,-0.0121
000635.SZ,floor,357,204,153,-0.0257,0.0195,0.0065
000635.SZ,resonance,423,297,126,-0.0221,-0.0018,0.0033
000636.SZ,strict,165,93,72,0.1151,0.0086,-0.2044
000636.SZ,floor,207,102,105,0.102,0.0295,-0.0885
000636.SZ,resonance,179,92,87,0.0781,0.1017,-0.0612
000637.SZ,strict,602,351,251,-0.031,0.0095,-0.0546
000637.SZ,floor,701,367,334,-0.0011,0.0209,-0.0442
000637.SZ,resonance,836,545,291,0.0017,0.0394,0.0102
000639.SZ,strict,430,230,200,-0.1129,-0.1223,-0.1054
000639.SZ,floor,523,246,277,-0.0771,-0.0591,-0.0444
000639.SZ,resonance,595,390,205,-0.0169,-0.0496,-0.0602
000655.SZ,strict,752,437,315,-0.0166,-0.0047,-0.0264
000655.SZ,floor,816,443,373,-0.0132,-0.0074,-0.0317
000655.SZ,resonance,1030,662,368,-0.0019,-0.0048,-0.0084
000656.SZ,strict,289,164,125,0.2301,0.2963,0.2666
000656.SZ,floor,317,168,149,0.2339,0.3188,0.2743
000656.SZ,resonance,353,235,118,0.2422,0.2867,0.2557
000657.SZ,strict,1153,678,475,-0.0149,-0.041,-0.0375
000657.SZ,floor,1457,720,737,0.0073,-0.0248,-0.0495
000657.SZ,resonance,1248,719,529,-0.028,-0.0281,-0.0204
000661.SZ,strict,929,559,370,-0.016,-0.024,-0.049
000661.SZ,floor,985,573,412,-0.0197,-0.0384,-0.0502
000661.SZ,resonance,1175,786,389,-0.0215,-0.0242,-0.0559
