sym,n_bars,split,n_train,skill24_train,n_test,skill24_test
002696.SZ,34994,23096,588,0.0805,256,0.0251
002715.SZ,34994,23096,347,0.048,164,0.0718
002732.SZ,34994,23096,431,0.0112,187,0.0199
002743.SZ,34994,23096,687,0.0776,300,0.1919
002758.SZ,34994,23096,557,0.0542,270,0.07
002772.SZ,34994,23096,363,0.103,186,0.0008
002790.SZ,34994,23096,567,0.0374,269,0.0263
002806.SZ,34994,23096,432,0.0718,188,0.0567
002819.SZ,34994,23096,325,0.0572,134,0.125
002831.SZ,34994,23096,281,-0.0068,111,0.0664
002847.SZ,34994,23096,276,0.0154,142,-0.0585
002864.SZ,5000,3300,48,-0.0882,18,-0.8391
002875.SZ,34994,23096,362,0.0192,163,-0.1321
002887.SZ,34994,23096,458,-0.0217,165,0.0434
002899.SZ,34994,23096,253,-0.014,108,0.0342
002912.SZ,34994,23096,296,-0.0291,133,0.0195
002926.SZ,5000,3300,74,-0.0362,51,0.1016
002947.SZ,34994,23096,265,0.0099,116,-0.1141
002965.SZ,34994,23096,314,-0.026,188,-0.1702
002978.SZ,34994,23096,334,0.0649,164,-0.0602
002991.SZ,34994,23096,259,0.0417,135,-0.0228
003006.SZ,34994,23096,387,0.0624,207,-0.1011
003025.SZ,34994,23096,471,0.0129,187,-0.0443
003038.SZ,34994,23096,407,0.0433,187,0.0723
300009.SZ,19997,13198,374,0.0285,175,0.014
300027.SZ,34994,23096,1000,0.0838,540,0.1143
300041.SZ,34994,23096,481,0.0375,182,-0.1099
300055.SZ,34994,23096,429,0.05,223,0.0473
300072.SZ,34994,23096,754,0.1067,398,0.052
300086.SZ,34994,23096,484,-0.0112,283,0.051
300101.SZ,34994,23096,317,-0.0409,177,0.0866
300119.SZ,34994,23096,432,0.0014,204,-0.0119
300133.SZ,34994,23096,505,-0.0675,237,0.0565
300145.SZ,5000,3300,80,0.1564,29,-0.0795
300158.SZ,34994,23096,700,0.0742,360,0.0007
300173.SZ,5000,3300,92,-0.0228,40,0.0474
300187.SZ,34994,23096,784,0.0986,307,0.0306
300198.SZ,34994,23096,914,0.1254,389,0.1107
300215.SZ,34994,23096,530,0.013,237,-0.0697
300230.SZ,34994,23096,799,0.0729,360,0.0284
300243.SZ,5000,3300,43,0.053,18,0.0438
300254.SZ,34994,23096,494,-0.003,195,-0.1515
300270.SZ,19997,13198,200,0.0755,115,0.042
300287.SZ,34994,23096,907,0.0567,380,-0.0033
300302.SZ,34994,23096,339,0.0274,139,-0.1483
300316.SZ,34994,23096,256,-0.0085,134,0.0406
300334.SZ,34994,23096,539,0.0394,194,-0.244
300350.SZ,34994,23096,654,0.0589,341,-0.0123
300365.SZ,9999,6599,162,0.1521,94,0.0233
300385.SZ,29995,19796,340,-0.2348,159,-0.0462
300400.SZ,34994,23096,327,0.0778,135,-0.2503
300413.SZ,34994,23096,349,0.0156,183,0.0007
300429.SZ,5000,3300,37,-0.0969,13,-0.4073
300441.SZ,34994,23096,731,0.0532,295,0.0605
300452.SZ,34994,23096,414,0.05,225,-0.0263
300463.SZ,24996,16497,424,0.0194,212,0.1069
300477.SZ,34994,23096,898,0.082,416,0.1305
300489.SZ,34994,23096,237,-0.11,116,-0.554
300503.SZ,34994,23096,281,-0.0235,129,-0.1635
300516.SZ,34994,23096,246,-0.1714,145,-0.2983
300533.SZ,34994,23096,278,0.1351,176,0.1195
300545.SZ,19997,13198,132,0.0935,78,-0.0606
300558.SZ,34994,23096,268,0.0636,132,0.1407
300573.SZ,34994,23096,243,0.0629,134,-0.0353
300589.SZ,34994,23096,308,-0.0079,183,0.1196
300605.SZ,5000,3300,48,-0.0693,33,0.0602
