sym,date,net_pct,cum_net_pct
002149.SZ,2025-12-10,0.1553,182.9937
603236.SH,2025-12-10,0.1151,183.1088
300542.SZ,2025-12-10,0.6421,183.7509
300441.SZ,2025-12-10,0.4822,184.2331
688616.SH,2025-12-10,0.3675,184.6006
300664.SZ,2025-12-10,0.1386,184.7392
300146.SZ,2025-12-10,0.2158,184.955
688038.SH,2025-12-10,0.5563,185.5113
002603.SZ,2025-12-10,0.4187,185.93
002324.SZ,2025-12-10,0.3594,186.2894
603282.SH,2025-12-10,0.4157,186.7051
688578.SH,2025-12-10,0.7833,187.4884
003031.SZ,2025-12-10,0.6614,188.1498
301369.SZ,2025-12-10,1.1609,189.3107
600624.SH,2025-12-10,0.6581,189.9688
603113.SH,2025-12-10,-0.192,189.7768
300264.SZ,2025-12-10,0.4105,190.1873
601088.SH,2025-12-10,0.1585,190.3458
002239.SZ,2025-12-10,-0.04,190.3058
002149.SZ,2025-12-10,1.3374,191.6432
000572.SZ,2025-12-10,4.4193,196.0625
603337.SH,2025-12-10,0.7249,196.7874
002932.SZ,2025-12-10,0.0152,196.8026
600868.SH,2025-12-10,0.2177,197.0203
600845.SH,2025-12-10,0.3006,197.3209
603950.SH,2025-12-10,0.3835,197.7044
603330.SH,2025-12-10,0.3491,198.0535
300664.SZ,2025-12-10,0.1389,198.1924
688670.SH,2025-12-10,1.1941,199.3865
002173.SZ,2025-12-10,0.7672,200.1537
002324.SZ,2025-12-10,0.2805,200.4342
600479.SH,2025-12-10,0.0557,200.4899
603282.SH,2025-12-10,0.2653,200.7552
300691.SZ,2025-12-10,0.1336,200.8888
688347.SH,2025-12-10,1.0823,201.9711
688252.SH,2025-12-10,0.1437,202.1148
300441.SZ,2025-12-10,0.2197,202.3345
300197.SZ,2025-12-10,0.4948,202.8293
688608.SH,2025-12-10,0.153,202.9823
688619.SH,2025-12-10,-0.04,202.9423
300264.SZ,2025-12-10,0.7063,203.6486
601366.SH,2025-12-10,0.5983,204.2469
600689.SH,2025-12-10,0.166,204.4129
001317.SZ,2025-12-10,0.3001,204.713
600528.SH,2025-12-10,0.0861,204.7991
688392.SH,2025-12-10,0.8372,205.6363
301526.SZ,2025-12-10,1.1228,206.7591
301203.SZ,2025-12-10,0.4194,207.1785
002932.SZ,2025-12-10,0.0704,207.2489
603334.SH,2025-12-10,0.0752,207.3241
002149.SZ,2025-12-10,1.3548,208.6789
920640.BJ,2025-12-10,0.5126,209.1915
600624.SH,2025-12-10,-0.04,209.1515
300003.SZ,2025-12-10,0.1521,209.3036
300557.SZ,2025-12-10,-0.2089,209.0947
001202.SZ,2025-12-10,-0.2326,208.8621
603337.SH,2025-12-10,0.1654,209.0275
300547.SZ,2025-12-10,0.2267,209.2542
603330.SH,2025-12-10,0.0899,209.3441
002008.SZ,2025-12-10,0.0631,209.4072
603938.SH,2025-12-10,0.6353,210.0425
920725.BJ,2025-12-10,0.5417,210.5842
600551.SH,2025-12-10,0.3171,210.9013
002324.SZ,2025-12-10,0.36,211.2613
920541.BJ,2025-12-10,0.6429,211.9042
300184.SZ,2025-12-10,0.2576,212.1618
603950.SH,2025-12-10,0.3174,212.4792
688135.SH,2025-12-10,0.6184,213.0976
688608.SH,2025-12-10,0.274,213.3716
600868.SH,2025-12-10,0.4741,213.8457
920670.BJ,2025-12-10,0.1645,214.0102
300604.SZ,2025-12-10,1.1613,215.1715
688244.SH,2025-12-10,0.9258,216.0973
920489.BJ,2025-12-10,0.8946,216.9919
300441.SZ,2025-12-10,-0.04,216.9519
920374.BJ,2025-12-10,0.6871,217.639
300518.SZ,2025-12-10,0.0777,217.7167
300003.SZ,2025-12-10,0.024,217.7407
688616.SH,2025-12-10,-0.04,217.7007
688578.SH,2025-12-10,0.0621,217.7628
600845.SH,2025-12-10,0.1054,217.8682
300184.SZ,2025-12-10,0.158,218.0262
000962.SZ,2025-12-10,0.5848,218.611
